,location,Kathmandu,Kathmandu.1,Kathmandu.2
0,lat,27.80793,27.80793,27.80793
1,lon,85.30983,85.30983,85.30983
2,asl,1260.200,1260.200,1260.200
3,variable,Temperature,Temperature,Temperature
4,unit,°C,°C,°C
5,level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
6,resolution,daily,daily,daily
